epoch,app_jif,app_rss_kb,pg_jif,pg_rss_kb,vk_jif,vk_rss_kb,run_jif,run_rss_kb
1789794017,509333,201512,400739,4578064,37081,399980,89454,1583940
1789794020,510696,201588,401620,4578100,37146,400360,89827,1585240
1789794022,512081,197504,402531,4578108,37213,401020,90280,1557656
1789794024,513496,201572,403433,4578060,37279,401504,90726,1584212
1789794027,514885,201508,404371,4579224,37346,402040,91171,1582504
1789794029,516219,201596,405236,4579224,37408,402480,91547,1567956
1789794031,517556,201568,406097,4579244,37472,402988,91962,1567900
1789794034,518888,179712,406948,4579140,37533,403544,92376,1596316
1789794036,520235,200756,407927,4579784,37593,404072,92803,1594896
1789794038,521586,201528,408824,4579868,37658,404544,93175,1568156
1789794041,522930,201628,409706,4729704,37719,405028,93594,1595164
1789794043,524262,201612,410597,4729716,37782,405584,94023,1596480
1789794045,525583,201536,411412,4580020,37844,405952,94445,1595292
1789794048,526920,201536,412310,4580724,37908,406580,94826,1568868
1789794050,528345,201568,413245,4580580,37977,407132,95276,1599192
1789794052,529694,201628,414114,4580840,38041,407624,95720,1597392
1789794055,531020,201612,414975,4580816,38103,408096,96147,1571204
1789794057,532391,201580,415883,4581240,38169,408664,96512,1596796
1789794059,533727,201576,416756,4581336,38231,409124,96950,1597876
1789794062,535070,201624,417620,4581324,38297,409660,97394,1571240
1789794064,536434,201624,418514,4581372,38360,410172,97813,1571204
1789794066,537798,201632,419412,4581372,38427,410608,98203,1598420
1789794069,539157,201596,420320,4582092,38490,411240,98648,1649220
1789794071,540522,136044,421209,4582160,38557,411748,99096,1521860
1789794073,541894,201548,422096,4581988,38621,412256,99528,1542060
1789794076,543265,201624,422987,4582112,38685,412696,99963,1541576
1789794078,544587,201588,423850,4582236,38747,413300,100401,1541972
1789794081,546004,155904,424788,4581976,38816,413820,100865,1519620
1789794083,547398,201580,425691,4582024,38883,414340,101300,1633404
1789794085,548765,201536,426563,4582052,38948,414840,101666,1632576
1789794088,550077,201512,427410,4582116,39010,415356,102096,1611364
1789794090,551433,201584,428284,4582656,39072,415884,102533,1638652
1789794092,552800,136160,429186,4582620,39142,416428,102914,1640888
1789794095,554170,136068,430072,4582628,39210,416960,103385,1640912
1789794097,555513,154104,430965,4582756,39271,417372,103811,1615512
1789794099,556890,201616,431994,4609980,39339,417976,104258,1642476
1789794102,558273,169076,432881,4628664,39402,418556,104617,1642300
1789794104,559589,136156,433740,4686100,39464,419004,105035,1617124
1789794106,560924,201572,434629,4698508,39524,419520,105483,1617140
1789794109,562287,201632,435544,4742588,39592,420072,105868,1644348
1789794111,563657,201532,436525,4712948,39658,420468,106305,1643560
1789794113,564976,136156,437376,4720516,39719,420976,106725,1617396
1789794116,566328,150376,438288,4726236,39783,421584,107158,1644376
1789794118,567682,136116,439032,4586996,39849,422088,107533,1644556
1789794120,569034,136040,439953,4587440,39914,422596,107982,1624952
1789794123,570362,201532,440814,4587588,39977,423124,108421,1617372
1789794125,571688,201592,441689,4587524,40045,423572,108805,1643888
1789794127,573089,201580,442591,4587540,40104,424016,109235,1644888
1789794130,574404,201572,443415,4587596,40164,424452,109653,1617300
1789794132,575731,136072,444297,4587688,40228,425136,110016,1643612
1789794134,577084,201588,445172,4587712,40292,425540,110462,1645720
1789794137,578385,201540,446004,4587848,40356,426128,110917,1643484
1789794139,579720,201580,446860,4587816,40419,426612,111331,1617392
1789794141,581129,178920,447787,4588344,40485,427160,111708,1644692
1789794144,582470,136116,448647,4588264,40548,427536,112132,1643836
1789794146,583808,201588,449499,4588400,40611,428112,112558,1617344
1789794148,585124,201548,450360,4588436,40672,428644,112933,1643204
1789794151,586483,201548,451253,4588344,40738,429144,113375,1645768
1789794153,587816,170968,452136,4588892,40800,429488,113810,1617396
1789794155,589167,136076,453000,4588792,40861,430132,114226,1617392
