s,ts_utc,begins,completed,success,unexpected,drops,in_ckpt_local,bin_present
1790147529,2026-09-23T07:12:09+00:00,2000,1995,1966,0,0,False,True
1790147530,2026-09-23T07:12:10+00:00,2000,2001,1978,0,0,False,True
1790147531,2026-09-23T07:12:11+00:00,2000,2003,1966,0,0,False,True
1790147532,2026-09-23T07:12:12+00:00,1999,2005,1985,0,0,False,True
1790147533,2026-09-23T07:12:13+00:00,2001,1990,1961,0,0,False,True
1790147534,2026-09-23T07:12:14+00:00,2000,1994,1971,0,0,False,True
1790147535,2026-09-23T07:12:15+00:00,2000,1979,1946,0,0,False,True
1790147536,2026-09-23T07:12:16+00:00,2000,2015,1992,0,0,False,True
1790147537,2026-09-23T07:12:17+00:00,2000,2013,1976,0,0,False,True
1790147538,2026-09-23T07:12:18+00:00,1999,2011,1979,0,0,False,True
1790147539,2026-09-23T07:12:19+00:00,2001,1986,1953,0,0,False,True
1790147540,2026-09-23T07:12:20+00:00,2000,2008,1971,0,0,False,True
1790147541,2026-09-23T07:12:21+00:00,1998,2001,1965,0,0,False,True
1790147542,2026-09-23T07:12:22+00:00,2001,1996,1975,0,0,False,True
1790147543,2026-09-23T07:12:23+00:00,2001,1971,1938,0,0,False,True
1790147544,2026-09-23T07:12:24+00:00,2000,2020,1990,0,0,False,True
1790147545,2026-09-23T07:12:25+00:00,2000,2012,1984,0,0,False,True
1790147546,2026-09-23T07:12:26+00:00,2000,1995,1966,0,0,False,True
1790147547,2026-09-23T07:12:27+00:00,2000,2001,1967,0,0,False,True
1790147548,2026-09-23T07:12:28+00:00,2000,2000,1968,0,0,False,True
1790147549,2026-09-23T07:12:29+00:00,2000,2000,1976,0,0,False,True
1790147550,2026-09-23T07:12:30+00:00,2000,2003,1966,0,0,False,True
1790147551,2026-09-23T07:12:31+00:00,2000,2002,1966,0,0,False,True
1790147552,2026-09-23T07:12:32+00:00,2000,1997,1974,0,0,False,True
1790147553,2026-09-23T07:12:33+00:00,1998,2000,1954,0,0,False,True
1790147554,2026-09-23T07:12:34+00:00,2002,1992,1955,0,0,False,True
1790147555,2026-09-23T07:12:35+00:00,2000,2005,1980,0,0,False,True
1790147556,2026-09-23T07:12:36+00:00,2000,2003,1971,0,0,False,True
1790147557,2026-09-23T07:12:37+00:00,2000,2003,1969,0,0,False,True
1790147558,2026-09-23T07:12:38+00:00,2000,1990,1959,0,0,False,True
1790147559,2026-09-23T07:12:39+00:00,2000,1986,1945,0,0,False,True
1790147560,2026-09-23T07:12:40+00:00,2000,2004,1972,0,0,False,True
1790147561,2026-09-23T07:12:41+00:00,2000,2011,1973,0,0,False,True
